,,CÓPIA,,,,,DHL Express,
,,,,,FATURA DE SERVIÇO,,,
,,,,Fatura:,,GRU0003339728,,
,,,,Conta:,,,654235540,
,,,,I.E.:,,,ISENTO,
,,,,CNPJ.:,,29.881.087/0001-35,,
,,,,Emissão:,,,23/08/2019,
,,,,Número de Páginas:,,,,1 de 3
CLINGER FRANCISCO OLAVIO,,,,,,,,
CLINGER OLVAVIO,,,,Em caso de dúvidas contate:,,,,
"ALAMEDA TERRACOTA, 185",,,,,,,,
CONJ 1505 SALA 503 ESPACO CERAMICA,,,,Telefone:,,(11) 3618 3333 / 0800 771 3451,,
09531-190 SAO CAETANO DO SUL,,,,Email:,,cobranca.br@dhl.com,,
BRAZIL,,,,,,,,
,,Visualize e faça o download da fatura original através do link:,,,,,,
,,,,,https://mybill.dhl.com/pp/,,,
,,,,Insira o código: : n0cc1-av57m,,,,
Tipo de Serviço,Número de Peso Total,Número,Tarifa Frete,Taxas/,,Tributos,,Total
,Envios,de Peças,(Bruto),Serviços,,,,
,,,,Extras,,,,
EXPRESS EASY NONDOC,5,"2,50",5,"540,00","0,00",,,"540,00"
EXPRESS WORLDWIDE NONDOC,1,"3,50",1,"202,74","0,00",,,"202,74"
EXPRESS EASY DOC,1,"0,50",1,"90,00","0,00",,,"90,00"
EXPRESS DOMESTIC,2,"2,00",2,"65,80","6,58","9,87",,"82,25"
Total,9,"8,50",9,"898,54","6,58","9,87",,"914,99"
Detalhamento de Taxas/Serviços Extras,Total,,,,,,,
FUEL SURCHARGE,"6,58",,,,,,,
Total Taxas/Serviços Extras,"6,58",,,,,,,
Análise de Tributos,,,Total,,,,,
Código DHL Descrição do(s) Tributo(s),,,,Alíquota,,Total Tributável,,Tributos
T4 ICMS - 12%,,,,,"12,00%",,"82,25","9,87"
Total de Tributos,,,,,,,,"9,87"
,,,,Valor Total (sem,,Tributos,Valor Total (com,
,,,,Tributos),,,,Tributos)
Prazo de Pagamento: 12/09/2019,Valor Total (BRL),,,"905,12",,"9,87",,"914,99"
"• DHL EXPRESS (BRAZIL) LTDA AV MANUEL BANDEIRA, 291 BLOCO D SAO PAULO 05317-020 •",,,,,,,,
• CNPJ: 58.890.252/0001-13 • I.E.: 109.746.831.115 •,,,,,,,,

,,,CÓPIA,,,,,,,,,,
Fatura:,,GRU0003339728,,,,,,,,,,,
,,,Fatura de Serviço,,,,,,,,,,
Conta:,,654235540,,,,,,,,,,,
Emissão:,,23/08/2019,,,,,,,,,,,
Número de Páginas:,,2 de 3,,,,,,,,,,,
AWB,Referência,"Data do
Envio",Remetente,Destinatário,"Tipo de
Serviço","Peso em
Kg","Número
de Peças",,"Tárifa
Frete
(Bruto)","Taxas/ Serviços
Extras",Valor,"Tributos/
Código DHL",Total
3654579784,,16/08/2019,"CWB, CURITIBA","MDQ, CENTRO DEL PAIS",EXPRESS,"0,50",A,1,"90,00",,,,"90,00"
,,,FERRARA CIDADANIA ITALIANA,JULIANA FERRARO,EASY doc,,,,,,,,
,,,AC Gustavo,Juliana Ferraro,,,,,,,,,
,,,RUA MARECHAL DEODORO 857,"RUA MALHARRO , 147",,,,,,,,,
,,,SALAS 1901 A 1903 PR PARANA,"AR-8000, BAHIA BLANCA",,,,,,,,,
,,,"BR-80060-010, CURITIBA",,,,,,,,,,
,,,Parana,,,,,,,,,,
Sub-Total de Serviço - EXPRESS EASY doc,,,,,,"0,50",,1,"90,00",,,,"90,00"
1214012962,,19/08/2019,"BHZ, BELO HORIZONTE","BUE, BUENOS AIRES",EXPRESS,"0,50",A,1,"100,00",,,,"100,00"
,,,DATORA MOBILE TELECOMUNICACOES S/A,GRIN MOVILIDAD SAS,EASY,,,,,,,,
,,,DATORA MOBILE TELECOMUNICACOES S/A,Grin Movilidad SAS,nondoc,,,,,,,,
,,,ALAMEDA OSCAR NIEMEYER 119,RECONQUISTA 336,,,,,,,,,
,,,SALA 1502 MG MG,"PISO 3 CABA,",,,,,,,,,
,,,"BR-34006-056, NOVA LIMA","AR-1003, BUENOS AIRES",,,,,,,,,
,,,MG,,,,,,,,,,
3654397460,,19/08/2019,"BHZ, BELO HORIZONTE","LIM, LIMA",EXPRESS,"0,50",A,1,"120,00",,,,"120,00"
,,,DATORA MOBILE TELECOMUNICACOES S/A,GRIN PERU S.A.C.,EASY,,,,,,,,
,,,DATORA MOBILE TELECOMUNICACOES S/A,Grin Peru S.A.C.,nondoc,,,,,,,,
